,title,Unnamed: 0,Unnamed: 0.1,platform,score,genre,release_year,Dreamcast,"Game Boy (Color, Advance)",GameCube,Mobile,"Nintendo (DS, 3DS, DSi)",Nintendo 64,PC,"PlayStation (1, 2 ,3, 4)","PlayStation (Portable, Vita)",Wii (U),"Xbox (360, One)",iPad,Action,Adventure,Board,Card,Educational,Fighting,Hunting,Music,Party,Platformer,Puzzle,RPG,Racing,Shooter,Simulation,Sports,Strategy
7068,Overwatch,17115,18573,"Xbox (360, One)","(9, 10]",Shooter,2016,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7069,OxenFree,16962,18414,PC,"(8, 9]",Adventure,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7070,Ozzy & Drix,5120,5517,"Game Boy (Color, Advance)","(3, 4]",Action,2004,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7071,P.N.03,4726,5097,GameCube,"(5, 6]",Shooter,2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7072,PBA Tour Bowling 2,1850,2047,PC,"(4, 5]",Sports,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7073,PBA Tour Bowling 2001,2654,2913,PC,"(5, 6]",Sports,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7074,PBR: Out of the Chute,11373,12418,Wii (U),"(3, 4]",Sports,2009,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7075,PD Ultraman Battle Collection 64,1834,2031,Nintendo 64,"(1, 2]",RPG,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7076,PDC World Championship Darts,12105,13216,Wii (U),"(2, 3]",Sports,2009,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7077,PGA Championship Golf 1999 Edition,1262,1395,PC,"(7, 8]",Sports,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7078,PGA Championship Golf 2000,2064,2281,PC,"(7, 8]",Sports,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7079,PGA European Tour,2014,2231,Nintendo 64,"(4, 5]",Sports,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7080,PGA Tour '96,489,522,"PlayStation (1, 2 ,3, 4)","(6, 7]",Sports,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7081,PGA Tour '98,740,784,"PlayStation (1, 2 ,3, 4)","(6, 7]",Sports,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7082,PK: Out of the Shadows,4260,4608,"PlayStation (1, 2 ,3, 4)","(3, 4]",Platformer,2003,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7083,PO'ed,442,471,"PlayStation (1, 2 ,3, 4)","(7, 8]",Action,1996,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7084,POD: Speedzone,2640,2899,Dreamcast,"(6, 7]",Racing,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7085,PQ: Practical Intelligence Quotient,7068,7620,"PlayStation (Portable, Vita)","(7, 8]",Puzzle,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7086,PQ: Practical Intelligence Quotient 2,8724,9407,"PlayStation (Portable, Vita)","(7, 8]",Puzzle,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7087,PaRappa the Rapper,18275,9496,"PlayStation (Portable, Vita)","(6, 7]",Music,2007,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7088,Pac'n Roll,6508,7011,"Nintendo (DS, 3DS, DSi)","(7, 8]",Action,2005,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7089,Pac-Attack,9606,10403,Wii (U),"(5, 6]",Puzzle,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7090,Pac-Man,14805,16085,iPad,"(6, 7]",Action,2011,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7091,Pac-Man & Galaga Dimensions,14658,15934,"Nintendo (DS, 3DS, DSi)","(4, 5]",Action,2011,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7092,Pac-Man (Classic NES Series),5453,5872,"Game Boy (Color, Advance)","(4, 5]",Action,2004,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7093,Pac-Man All-Stars,3597,3888,PC,"(6, 7]",Action,2002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7094,Pac-Man Bowling,17866,6468,Mobile,"(6, 7]",Sports,2004,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7095,Pac-Man Championship Edition 2,17009,18462,PC,"(7, 8]",Action,2016,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7096,Pac-Man Championship Edition DX,13998,15237,"Xbox (360, One)","(9, 10]",Action,2010,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7097,Pac-Man Collection,2969,3244,"Game Boy (Color, Advance)","(8, 9]",Action,2001,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7098,Pac-Man Fever,3662,3982,"PlayStation (1, 2 ,3, 4)","(4, 5]",Party,2002,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7099,Pac-Man Remix,12167,13284,Mobile,"(7, 8]",Action,2009,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7100,Pac-Man Vs.,17704,5488,GameCube,"(7, 8]",Puzzle,2003,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
